20.0,27.0,0.99546,3.15,0.69,11.2
16.0,39.0,0.9961,3.34,0.55,9.2
15.0,26.0,0.9944799999999999,3.36,0.45,9.5
54.0,80.0,1.0002,3.3,0.76,10.7
9.0,17.0,0.99484,3.19,0.52,12.5
17.0,40.0,0.99803,3.29,0.55,9.5
29.0,44.0,0.9948899999999999,3.38,0.83,10.3
6.0,20.0,0.99772,3.15,0.5,10.5
10.0,86.0,0.9983,3.37,0.62,9.5
25.0,105.0,0.99613,3.3,0.49,9.9
17.0,56.0,0.9969,3.04,1.08,9.2
4.0,10.0,0.99356,3.33,0.7,12.8
23.0,110.0,0.9972,3.12,1.02,9.3
7.0,18.0,0.9986,3.04,1.06,9.4
12.0,88.0,0.9979600000000001,3.26,0.66,10.1
30.0,52.0,0.9957600000000001,3.44,0.58,10.1
6.0,12.0,0.99408,3.26,0.62,12.4
12.0,30.0,0.9996,3.18,0.63,10.8
8.0,15.0,0.9956,3.4,0.63,9.4
19.0,38.0,0.9990000000000001,3.35,0.6,9.3
5.0,22.0,0.9998,3.26,0.74,11.2
12.0,21.0,0.99551,3.21,0.75,10.2
10.0,17.0,1.0002,3.07,0.56,11.7
40.5,165.0,0.9912,3.25,0.59,11.9
9.0,38.0,0.99616,3.15,0.53,9.8
5.0,9.0,0.9947600000000001,3.5,0.4,10.9
16.0,37.0,0.9966,3.37,0.51,10.5
10.0,23.0,1.00315,2.92,0.74,11.1
5.0,11.0,0.9984,3.37,0.69,10.1
32.0,71.0,1.00015,3.31,0.71,9.8
38.0,106.0,0.9982,3.08,0.59,9.1
16.0,29.0,0.9962,3.21,0.49,10.2
19.0,50.0,0.9978299999999999,3.1,0.58,10.4
41.0,54.0,0.99754,3.38,0.86,10.5
6.0,9.0,0.9948,3.59,0.54,11.5
9.0,30.0,0.9968,3.41,0.53,9.5
5.0,14.0,0.9950200000000001,3.32,0.62,11.5
17.0,29.0,0.99674,3.12,0.65,11.2
13.0,49.0,0.9988,3.18,0.65,11.0
13.0,26.0,0.9978,3.37,0.46,9.6
3.0,11.0,0.9915,3.39,0.54,13.5
35.0,155.0,1.001,3.41,0.67,11.2
6.0,18.0,0.9979,3.3,0.71,10.5
5.0,17.0,0.9988,3.21,0.73,11.0
3.0,14.0,0.99808,3.4,0.52,10.2
5.0,13.0,0.997,3.41,0.57,11.0
5.0,16.0,0.9994,3.16,0.63,8.4
9.0,37.0,0.9973200000000001,3.66,0.65,9.8
18.0,88.0,0.9915700000000001,3.68,0.73,13.6
17.0,42.0,0.9956,3.37,0.48,9.0
36.0,100.0,0.99064,3.26,0.39,11.7
16.0,126.0,0.9969,3.28,0.61,9.5
29.0,53.0,0.9967,3.37,0.7,10.3
9.0,23.0,0.9968,3.3,1.2,10.3
5.0,17.0,0.9968299999999999,3.17,0.65,10.6
20.0,47.0,0.9988,3.26,0.67,9.6
6.0,35.0,0.9939600000000001,3.29,0.71,11.0
25.0,49.0,0.9997,3.1,0.76,10.3
10.0,42.0,0.9969,3.19,0.59,9.5
32.0,38.0,0.9943799999999999,3.32,0.58,11.4
7.0,21.0,0.9992,3.17,0.84,12.2
25.0,45.0,0.9978,3.34,0.53,9.5
15.0,40.0,1.0004,3.06,0.49,9.0
6.0,13.0,1.0,3.17,0.71,9.5
7.0,20.0,0.9964700000000001,3.32,0.63,10.5
5.0,13.0,0.9976,3.05,0.74,10.5
45.0,87.0,0.9983,3.48,0.53,10.0
6.0,14.0,0.9982,3.3,0.75,9.8
15.0,59.0,0.9964,3.3,0.46,9.4
21.0,73.0,0.997,3.36,0.57,9.1
23.0,36.0,0.99392,3.11,0.78,12.4
17.0,43.0,0.99444,3.31,0.77,12.5
8.0,38.0,0.9972,3.58,0.61,10.5
6.0,32.0,1.0006,3.12,0.78,10.7
7.0,42.0,1.0022,3.07,0.73,10.0
14.0,30.0,0.9966,3.52,0.55,10.7
15.0,26.0,0.9944799999999999,3.36,0.45,9.5
34.0,61.0,0.9952799999999999,3.43,0.59,10.8
34.0,68.0,0.99708,3.23,0.72,10.9
20.0,49.0,0.9972,3.13,0.54,9.6
34.0,64.0,0.99724,3.41,0.68,10.4
27.0,55.0,0.9962,3.31,0.63,11.0
16.0,61.0,0.99572,3.29,0.6,9.3
6.0,18.0,0.9962,3.2,1.13,12.0
16.0,63.0,0.9965,3.19,0.82,9.6
17.0,43.0,1.0014,3.06,0.8,10.0
19.0,27.0,0.9971200000000001,3.44,0.67,9.8
26.0,51.0,0.99456,3.38,0.72,11.8
15.0,37.0,0.99624,3.36,0.49,10.7
9.0,22.0,0.99708,3.28,0.55,9.5
6.0,14.0,0.99555,3.51,0.69,11.0
12.0,27.0,0.9981,3.11,0.97,10.1
6.0,12.0,0.99516,3.35,0.69,11.7
11.0,37.0,0.9972799999999999,3.16,0.67,10.8
11.0,18.0,0.9924200000000001,3.39,0.4,12.8
16.0,63.0,0.9965,3.19,0.82,9.6
29.0,129.0,0.9973,3.42,0.72,10.5
8.0,33.0,0.99845,3.68,0.71,9.6
12.0,48.0,0.9988799999999999,3.31,0.54,9.5
3.0,8.0,0.9964200000000001,3.2,0.53,11.9
6.0,14.0,0.9962700000000001,3.45,0.58,9.8
4.0,10.0,0.9938600000000001,3.27,0.71,12.5
7.0,20.0,0.9996,3.24,0.76,10.4
